Data entry by,Source,Year,Sheet,Marchandises,Pays,Leur valeur,Leur Valeur (sub-total 1),Total,Par section,Par classe,Remarks,Classes,Sections
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Royaume d'Espagne,518 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Hollande,14 052 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Royaume de Prusse,3 088 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Etats de l'Allemagne,437 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Etats-Unis d'Amérique,2 466 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Villes Anséatiques,6 682 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Royaume de Danemark,104 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Royaume de Suède,516 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Milanie Toscane,1 466 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",République de Gènes,916 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,"Blé et autres grains, comestibles ",Empire Ottoman et Barbarie,2 046 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,"Blé et autres grains, comestibles ",Royaume de Naples,6 249 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,"Blé et autres grains, comestibles ",Royaume de Sardaigne,1 725 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,"Blé et autres grains, comestibles ",Empire d'Autriche,2 367 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,"Blé et autres grains, comestibles ",Empire de Russie,119 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,"Blé et autres grains, comestibles ",Etats de Rome,1 470 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,"Blé et autres grains, comestibles ",Angleterre,10 181 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,"Blé et autres grains, comestibles ",République de Venise,46 000,,54 448 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,Riz,Etats-Unis d'Amérique,1 620 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,Riz,Villes Anséatiques,58 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,Riz,République de Gènes,609 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,Riz,Royaume de Naples,100 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,Riz,Royaume de Sardaigne,1 059 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,Riz,Empire d'Autriche,195 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,Riz,Royaume de Portugal,14 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,Riz,Angleterre,1 736 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,Riz,Colonies Françaises,10 000,,5 401 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,Farine et biscuits de mer et pâtes d'Italie,Etats-Unis d'Amérique,2 353 000,,10 341 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,Farine et biscuits de mer et pâtes d'Italie,Villes Anséatiques,94 000,,10 341 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,Farine et biscuits de mer et pâtes d'Italie,République de Gènes,137 000,,10 341 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,2,Farine et biscuits de mer et pâtes d'Italie,Empire Ottoman et Barbarie,43 000,,10 341 000,105 225 000,309 356 000,,Subsistances,1
Fatima zahra,,1789,3,Farine et biscuits de mer et pâtes d'Italie,Royaume de Naples,125 000,,10 341 000,105 225 000,309 356 000,,Subsistances,1
