numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,total,remarks,DoubleAccounts
1,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Royaume d'Espagne,1382000,19577000,,0
2,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Hollande,223000,19577000,,0
3,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Royaume de Prusse,221000,19577000,,0
4,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Etats de l'Allemagne,259000,19577000,,0
5,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,République de Suisse,170000,19577000,,0
6,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Etats-Unis d'Amerique,420000,19577000,,0
7,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Villes Anséatiques,904000,19577000,,0
8,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Royaume de Danemark,1156000,19577000,,0
9,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Royaume de Suède,182000,19577000,,0
10,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Eaux de vie,Milanie Toscane,46000,19577000,,0
11,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Empire ottoman et barbarie,40000,19577000,,0
12,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Royaume de Sardaigne,96000,19577000,,0
13,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Empire d'Autriche,1557000,19577000,,0
14,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Empire de Russie,665000,19577000,,0
15,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Royaume de Portugal,54000,19577000,,0
16,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Etats de Rome,4000,19577000,,0
17,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Angleterre,10466000,19577000,,0
18,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Eaux de vie,Colonies françaises,1732000,19577000,,0
19,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Royaume d'Espagne,114000,11435000,,0
20,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Hollande,878000,11435000,,0
21,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Royaume de Prusse,498000,11435000,,0
22,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Etats de l'Allemagne,1229000,11435000,,0
23,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,République de Suisse,1800000,11435000,,0
24,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Villes Anséatiques,581000,11435000,,0
25,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Royaume de Danemark,233000,11435000,,0
26,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Royaume de Suède,103000,11435000,,0
27,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,9,1///Subsistances///Vins divers,Milanie Toscane,36000,11435000,,0
28,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,République de Gènes,855000,11435000,,0
29,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Empire ottoman et barbarie,101000,11435000,,0
30,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Royaume de Naples,64000,11435000,,0
31,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Royaume de Sardaigne,924000,11435000,,0
32,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Empire d'Autriche,2051000,11435000,,0
33,Fatima Zahra,AN F12 251,National/Résumé/AN/F_12_251/1789.csv,Résumé,1789,Exports,10,1///Subsistances///Vins divers,Empire de Russie,220000,11435000,,0
