numrodeligne,datantryby,source,SourcePath,SourceType,year,exportsimports,pays,marchandises,value
1,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Agaric brut et préparé,16100
2,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Bois de construction et autres,31500
3,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Bois sciés en planches,2700
4,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Bois feuillards,3500
5,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Bois merrains,19500
6,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Bois des îles et des Indes, d'ébénisterie",6400
7,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Bois de teinture,624000
8,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Brai, goudron, galipot et résine",2000
9,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Cendres-potasse, védasse et gravelée",3100
10,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,"Cendres soude, natron et salin",1200500
11,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Charbon de terre et de bois,19500
12,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Cires blanche et jaune,2200
13,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Cornes de bétail,8600
14,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Crin,500
15,VERGNE Isabelle,AN F12 251,National/Résumé/AN/F_12_251/1821.csv,Résumé,1821,Importations,Royaume d'Espagne et ses colonies,Cuirs et peaux non apprêtés ,608500
