numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,marchandises,pays,value,doubleaccounts
1,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Bestiaux,Royaume d'Espagne,7299200,0
2,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Beurre,Royaume d'Espagne,21800,0
3,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Blé,Royaume d'Espagne,6213500,0
4,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Chairs salées et fraîches,Royaume d'Espagne,267100,0
5,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Eaux-de-vie,Royaume d'Espagne,1427500,0
6,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,"Farine, biscuit et pâtes",Royaume d'Espagne,2075400,0
7,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fromage,Royaume d'Espagne,93500,0
8,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fruits divers,Royaume d'Espagne,2500,0
9,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fruits secs,Royaume d'Espagne,75800,0
10,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fruits amandes,Royaume d'Espagne,34400,0
11,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Huile d'olive,Royaume d'Espagne,49200,0
12,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Légumes,Royaume d'Espagne,746700,0
13,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Œufs,Royaume d'Espagne,107800,0
14,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Miel,Royaume d'Espagne,8300,0
15,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Moutarde,Royaume d'Espagne,2700,0
16,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Poissons divers,Royaume d'Espagne,57400,0
17,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Provisions de bouche,Royaume d'Espagne,94700,0
18,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Riz,Royaume d'Espagne,58700,0
19,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Sel,Royaume d'Espagne,37900,0
20,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Vins divers,Royaume d'Espagne,718500,0
21,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Vins de Bordeaux,Royaume d'Espagne,385800,0
22,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Vins de liqueur,Royaume d'Espagne,17700,0
23,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Vinaigre,Royaume d'Espagne,55100,0
24,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Volailles et gibier,Royaume d'Espagne,55400,0
25,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Café,Royaume d'Espagne,400,0
26,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Liqueurs,Royaume d'Espagne,30500,0
27,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Sucres et sirops,Royaume d'Espagne,9300,0
28,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Girofle,Royaume d'Espagne,5100,0
29,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Chevaux et ânes,Royaume d'Espagne,120700,0
30,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Mulets,Royaume d'Espagne,4425500,0
31,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Coton filé et en laine,Royaume d'Espagne,5900,0
32,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fil de lin et de chanvre,Royaume d'Espagne,822000,0
33,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Laines,Royaume d'Espagne,12300,0
34,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Soies,Royaume d'Espagne,81000,0
35,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Bois divers,Royaume d'Espagne,136100,0
36,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Bois des iles et des Indes,Royaume d'Espagne,4400,0
37,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,"Brai, goudron et résine",Royaume d'Espagne,295500,0
38,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Charbon de bois et de terre,Royaume d'Espagne,2300,0
39,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,"Chaux, plâtre et ciment",Royaume d'Espagne,2300,0
40,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Cire blanche et jaune,Royaume d'Espagne,516200,0
41,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Cuirs apprêtés,Royaume d'Espagne,290000,0
42,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Graines diverses,Royaume d'Espagne,1700,0
43,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Graines de jardin,Royaume d'Espagne,6800,0
44,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Graines de trèfle et luzerne,Royaume d'Espagne,12800,0
45,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Huiles de graines et de noix,Royaume d'Espagne,9800,0
46,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Huiles de genièvre,Royaume d'Espagne,102000,0
47,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Huiles de poisson,Royaume d'Espagne,4700,0
48,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Liège en planche,Royaume d'Espagne,10000,0
49,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Soufre,Royaume d'Espagne,6100,0
50,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Tabacs,Royaume d'Espagne,15400,0
51,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Articles réunis,Royaume d'Espagne,44600,0
52,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Alun,Royaume d'Espagne,15000,0
53,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Garance,Royaume d'Espagne,108500,0
54,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Garance,Royaume d'Espagne,2300,0
55,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Graine jaune,Royaume d'Espagne,5400,0
56,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Herbes à teindre,Royaume d'Espagne,400,0
57,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Noix de galles,Royaume d'Espagne,8000,0
58,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Tartre,Royaume d'Espagne,3300,0
59,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Verdet,Royaume d'Espagne,94400,0
60,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Articles réunis,Royaume d'Espagne,92900,0
61,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Bestiaux,Royaume de Portugal,3500,0
62,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Beurre,Royaume de Portugal,114300,0
63,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Blé,Royaume de Portugal,4709500,0
64,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Chairs salées et fraîches,Royaume de Portugal,5800,0
65,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Eaux-de-vie,Royaume de Portugal,495100,0
66,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,"Farine, biscuit et pâtes",Royaume de Portugal,254900,0
67,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fromage,Royaume de Portugal,4100,0
68,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fruits secs,Royaume de Portugal,20900,0
69,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fruits à l'eau de vie,Royaume de Portugal,400,0
70,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Huile d'olive,Royaume de Portugal,19800,0
71,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Légumes,Royaume de Portugal,117500,0
72,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Poissons divers,Royaume de Portugal,6200,0
73,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Provisions de bouche,Royaume de Portugal,500,0
74,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Vins divers,Royaume de Portugal,110500,0
75,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Vins de Bordeaux,Royaume de Portugal,133100,0
76,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Vinaigre,Royaume de Portugal,3800,0
77,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Liqueurs,Royaume de Portugal,5400,0
78,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Sucres et sirops,Royaume de Portugal,400,0
79,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Coton filé et en laine,Royaume de Portugal,3400,0
80,Isabelle Vergne,AN F12 251,National/Résumé/AN/F_12_251/1814.csv,Résumé,1814,Exports,Fil de lin et de chanvre,Royaume de Portugal,3100,0
