numrodeligne,dataentryby,source,sourcepath,sourcetype,exportsimports,sheet,year,direction,bureaux,origine,marchandises,pays,quantit,quantity_unit,prix_unitaire,value,probleme,remarks
1,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Provence,Amandes en coques,Angleterre ,6819,Livres,"0,5",3409,"-0,5",50 livres le quintal
2,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Provence,Amidon,Angleterre ,3150,Livres,"0,45",1417,"-0,5",45 livres le quintal
3,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Beurre,Angleterre ,24010,Livres,"0,9",21609,0,
4,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Bois feuillard,Angleterre ,103,Paquets,"1,25",129,"0,25",
5,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Bois en matreaux,Angleterre ,8,Nombre,20,160,0,
6,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Bois a bruler,Isles de Rhé,,,,300,,Pas de quantité ni de prix unitaire
7,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Bois de teinture moulu,Angleterre ,750,Livres,"0,35",262,"-0,5",35 livres le quintal
8,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Bonneterie de conton,Petites isles,,,,144,,Pas de quantité ni de prix unitaire
9,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Bonneterie de fil,Angleterre ,,,,408,,Pas de quantité ni de prix unitaire
10,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Lyon,Bonneterie de soye,L'Espagne et les Etats de dépendance,17,Livres,60,1020,0,
11,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Bray et goudron ,Petites isles,6300,Livres,"0,0733333",462,0,Prix unitaire: 22 livres les 300 
12,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Bray et goudron ,Angleterre ,18600,Livres,"0,0733333",1364,0,Prix unitaire: 22 livres les 301
13,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Résine,Angleterre ,3350,Livres,"0,1",335,0,10 livres le quintal
14,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Caractères d'imprimerie,Angleterre ,245,Livres,"1,75",429,"0,25",
15,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Cendres barille,Angleterre ,2100,Livres,"0,2",420,0,
16,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Lard salé,Angleterre ,1046,Livres,"0,5",523,0,
17,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Cheveux,Angleterre ,341,Livres,4,1364,0,
18,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Chocolat,Angleterre ,135,Livres,2,270,0,
19,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Cire de bougie,Angleterre ,"80,5",Livres,"2,6",210,"0,7",
20,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Confiture,L'Espagne et les Etats de dépendance,1140,Livres,"1,2",1368,0,
21,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Coton en laine,Angleterre ,216,Livres,2,432,0,
22,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Coton filé,Angleterre ,88,Livres,6,528,0,
23,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Cuirs de bœuf tannés,Angleterre ,3408,Livres,"1,5",5112,0,
24,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Cuirs de vache tannés,Angleterre ,7734,Livres,"1,5",11601,0,
25,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Cuirs de chevaux tannés,Angleterre ,661,Livres,"1,5",991,"-0,5",
26,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Cuirs corroyés,Angleterre ,1434,Livres,"1,5",2151,0,
27,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Bretagne,Dentelle de soye,Angleterre ,200,Aunes,3,600,0,
28,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Angleterre,Drap de laine,Angleterre ,2,Pièces,150,300,0,
29,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Lyon,Drap de laine,L'Espagne et les Etats de dépendance,82,Aunes,12,984,0,
30,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Lyon,Droguerie diverses,Angleterre ,,,,267,,Pas de quantité ni de prix unitaire
31,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Lyon,Drogueries médicinales,Angleterre ,,,,132,,Pas de quantité ni de prix unitaire
32,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Lyon,Jus de réglisse,Angleterre ,411,Livres,3,1233,0,
33,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Lyon,Quinquina,Angleterre ,30,Livres,10,300,0,
34,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Hollande,Epicerie (canelle),Angleterre ,150,Livres,5,750,0,
35,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Girofle,Angleterre ,364,Livres,10,3640,0,
36,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Gingembre,Angleterre ,313,Livres,"0,6",188,"0,2",
37,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Muscade,Angleterre ,7,Livres,30,210,0,
38,Laura,AN F12 1666,National toutes directions partenaires manquants/AN/F_12_1666 et 1667/1789 - Exports – Saint-Malo.csv,National toutes directions partenaires manquants,Exports,3,1789,Saint-Malo,Saint-Malo,Etranger,Poivre,Angleterre ,461,Livres,"1,8",830,"0,2",
