numrodeligne,dataentryby,source,SourceType,year,exportsimports,direction,bureaux,sheet,marchandises,pays,value,remarks,quantit,quantit_marchandises,total_quantit,origine,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,prix_unitaire,unitdecompte,prixunitaire_unitdecomptelt,prixunitaire_unitdecomptesous,prixunitaire_unitdecomptedeniers,v19,probleme
1,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Abacir,Hollande,1400,,,,,,0,,,,,,,,,,,
1,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Achia,Hollande,4,,,,,,0,,,,,,,,,,,
2,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Angleterre,105,,,,,,15965.7001953125,,,,,,,,,,,
2,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Allemagne,26920.4,,,,,,248150,,,,,,,,,,,
3,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Espagne,4137.5,,,,,,15965.7001953125,,,,,,,,,,,
3,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Angleterre,1330,,,,,,248150,,,,,,,,,,,
4,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Flandre,14,,,,,,15965.7001953125,,,,,,,,,,,
4,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Danemark,539.3,,,,,,248150,,,,,,,,,,,
5,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Isles,4821.2998046875,,,,,,15965.7001953125,,,,,,,,,,,
5,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Espagne,1365,,,,,,248150,,,,,,,,,,,
6,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Italie,941.1500244140625,,,,,,15965.7001953125,,,,,,,,,,,
6,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Flandre,822.5,,,,,,248150,,,,,,,,,,,
7,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Nord,414.75,,,,,,15965.7001953125,,,,,,,,,,,
7,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Hollande,140404,,,,,,248150,,,,,,,,,,,
8,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Portugal,3962,,,,,,15965.7001953125,,,,,,,,,,,
8,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Italie,15960,,,,,,248150,,,,,,,,,,,
9,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Savoye,120,,,,,,15965.7001953125,,,,,,,,,,,
9,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Levant,980,,,,,,248150,,,,,,,,,,,
10,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Suède,332.5,,,,,,15965.7001953125,,,,,,,,,,,
10,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Nord,16933.3,,,,,,248150,,,,,,,,,,,
11,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Acier,Suisse,1117.5,,,,,,15965.7001953125,,,,,,,,,,,
11,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Suède,38252.3,,,,,,248150,,,,,,,,,,,
12,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agathe,Guinée,39000,,,,,,0,,,,,,,,,,,
12,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Acier,Suisse,4643.4,,,,,,248150,,,,,,,,,,,
13,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agneaux,Allemagne,620,,,,,,634,,,,,,,,,,,
13,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agarie,Espagne,19.5,,,,,,1748,,,,,,,,,,,
14,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agneaux,Espagne,14,,,,,,634,,,,,,,,,,,
14,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agarie,Hollande,412.5,,,,,,1748,,,,,,,,,,,
15,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agrément ; de fil,Isles,800,,,,,,7666,,,,,,,,,,,
15,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agarie,Italie,540,,,,,,1748,,,,,,,,,,,
16,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agrément ; d'argent,Isles,180,,,,,,7666,,,,,,,,,,,
16,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agarie,Savoye,76,,,,,,1748,,,,,,,,,,,
17,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agrément ; de soye,Angleterre,340,,,,,,7666,,6686,,,,,,,,,
17,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agarie,Suisse,700,,,,,,1748,,,,,,,,,,,
18,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agrément ; de soye,Flandre,2496,,,,,,7666,,6686,,,,,,,,,
18,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agathe,Hollande,750,,,,,,0,,,,,,,,,,,
19,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agrément ; de soye,Hollande,3500,,,,,,7666,,6686,,,,,,,,,
19,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agneaux,Allemagne,4,,,,,,192,,,,,,,,,,,
20,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,2,Agrément ; de soye,Suisse,350,,,,,,7666,,6686,,,,,,,,,
20,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agneaux,Italie,36,,,,,,192,,,,,,,,,,,
21,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Ajamis,Angleterre,4167,,,,,,614187,,,,,,,,,,,
21,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,2,Agneaux,Savoye,152,,,,,,192,,,,,,,,,,,
22,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Ajamis,Espagne,269991,,,,,,614187,,,,,,,,,,,
22,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Ajamir,Levant,1140750,,,,,,0,,,,,,,,,,,
23,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Ajamis,Italie,325728,,,,,,614187,,,,,,,,,,,
23,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Aigrettes,Flandre,7,,,,,,0,,,,,,,,,,,
24,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Ajamis,Levant,900,,,,,,614187,,,,,,,,,,,
24,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Aiguiller,Allemagne,503515,,,,,,545515.5,,,,,,,,,,,
25,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Ajamis,Nord,261,,,,,,614187,,,,,,,,,,,
25,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Aiguiller,Flandre,23402.5,,,,,,545515.5,,,,,,,,,,,
26,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Ajamis,Portugal,13140,,,,,,614187,,,,,,,,,,,
26,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Aiguiller,Hollande,18523,,,,,,545515.5,,,,,,,,,,,
27,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Aigrettes,Flandre,61.5,,,,,,131.5,,,,,,,,,,,
27,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Aiguiller,Savoye,75,,,,,,545515.5,,,,,,,,,,,
28,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Aigrettes,Hollande,70,,,,,,131.5,,,,,,,,,,,
28,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Ailer,Espagne,3599.8,,,,,,4594.8,,,,,,,,,,,
29,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Aiguilles,Espagne,120,,,,,,320,,,,,,,,,,,
29,Saadia Mai,Montbret 155-1,Objet Général,1754,Imports,,,3,Ailer,Italie,995,,,,,,4594.8,,,,,,,,,,,
30,Saadia Mai,Montbret 155-1,Objet Général,1754,Exports,,,3,Aiguilles,Suede,200,,,,,,320,,,,,,,,,,,
