numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,leurvaleursubtotal_1,leurvaleursubtotal_2,leurvaleursubtotal_3,remarks,doubleaccounts
1,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Allemagne,12.6,,,15420.5,,0
2,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Espagne,1849.05,,,15420.5,,0
3,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Flandre,10.5,,,15420.5,,0
4,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Isles,6329,,,15420.5,,0
5,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Italie,1062.5,,,15420.5,,0
6,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Levant,2240,,,15420.5,,0
7,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Portugal,1415.25,,,15420.5,,0
8,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Savoye,140.89999,,,15420.5,,0
9,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Acier,Suisse,2360.7,,,15420.5,,0
10,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agathe,Guinée,48000,,,,,0
11,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agneaux,Allemagne,236,,,,,0
12,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agrémens; d'argent,Angleterre,4,,,3211.5,,0
13,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agrémens; de fil,Flandre,37.5,,,3211.5,,0
14,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agremens; de soye,Allemagne,175,3170,,3211.5,,0
15,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agremens; de soye,Flandre,285,3170,,3211.5,,0
16,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agremens; de soye,Isles,1160,3170,,3211.5,,0
17,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Agremens; de soye,Suisse,1550,3170,,3211.5,,0
18,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Ajamis,Angleterre,1981,,,388306,,0
19,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Ajamis,Espagne,195156,,,388306,,0
20,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Ajamis,Italie,189999,,,388306,,0
21,Saadia Mai,Montbret 155-1,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 155-1/1755.csv,Objet Général,1755,Exports,2,Ajamis,Levant,1170,,,388306,,0
