Numéro de ligne,Data entry by,Source,Year,Import-Export,Sheet,Marchandises,Marchandise-Normalisée,Pays,Quantités,Leur Valeur,Leur Valeur (sub-total 1),,Leur Valeur (sub-total 2),Total,Remarks
1,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Allemagne,168 649,54 181,,,,526 230,
2,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Danemark,68 129,34 064,,,,526 230,
3,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Espagne,13 110,4 659,,,,526 230,
4,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Flandre,23 317,9 128,,,,526 230,
5,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Hollande,227 687,165 368,,,,526 230,
6,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Italie,23 994,8 397,,,,526 230,
7,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Genes,48 350,16 922,,,,526 230,
8,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Venise,4 360,1 526,,,,526 230,
9,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Nord,24 565,12 111,,,,526 230,
10,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Suede,669 529,208 169,,,,526 230,
11,Muhammed Shahban,Montbret 849,1772,Import,7,Acier,,Suisse,58 960,11 705,,,,526 230,
12,Muhammed Shahban,Montbret 849,1772,Import,7,Agaric,,Hollande,2 160,3 240,,,,5 240,
13,Muhammed Shahban,Montbret 849,1772,Import,7,Agaric,,Savoye,800,2 000,,,,5 240,
14,Muhammed Shahban,Montbret 849,1772,Import,7,Aigre De vitriol,,Flande,6 330,,,,,3 165,No value given
15,Muhammed Shahban,Montbret 849,1772,Import,7,Agneaux,,Savoye,362,,,,,1 541,No value given
16,Muhammed Shahban,Montbret 849,1772,Import,7,Aiguilles,,Allemagne,82 556,358 989,,,,379 065,
17,Muhammed Shahban,Montbret 849,1772,Import,7,Aiguilles,,Flandre,3 520,17 600,,,,379 065,
18,Muhammed Shahban,Montbret 849,1772,Import,7,Aiguilles,,Hollande,519,2 476,,,,379 065,
