numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_3,remarks,doubleaccounts
1,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Acier,Angleterre,7770,22200,55593,livres,,,,0
2,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Acier,Espagne,2180,6230,55593,livres,,,,0
3,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Acier,Levant,4400,12575,55593,livres,,,,0
4,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Acier,Isles,7028,16144,55593,livres,,,,0
5,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Acier,Guinee,13935,23225,55593,livres,,,,0
6,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Acier,Indes,20280,67600,55593,livres,,,,0
7,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Acors demontés,Isles,,16,6400,en nombre,,,No value given here,0
8,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Agneaux,Allemagne,,1115,6659,en nombre,,,,0
9,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Agréments,Allemagne,,,,,,,"Yes, this line was blank",0
10,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Agréments,Flandre,1909,38,3909,livres,,,,0
11,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Agréments,Isles,2000,50,3909,livres,,,,0
12,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Aiguilles,Espagne,,326,1930,livres,,,,0
13,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Alun,Espagne,1724,8620,29352,livres,,,,0
14,Muhammed Shahban,Montbret 849,National/Objet Général/Rouen/Bibliothèque Municipale Rouen/Ms Montbret 849/1772.csv,Objet Général,1772,Exports,7,Alun,Italie,1561,7805,29352,livres,,,,0
