Numéro de ligne,Data entry by,Source,Year,Exports-Imports,Sheet,Marchandises,Marchandises,Marchandises-1,Marchandises-2,Marchandises-3,Marchandises-4,Pays,Leur Valeur,,Leur valeur recalculée,Leur Valeur (sub-total 1),,Leur Valeur (sub-total 2),Leur Valeur (sub-total 2),,Total,,Remarks
3,Annick Davis,Montbret 849,1752,Imports,95,Acier,Acier,,,,,Allemagne,9 165,0,"9 165,00",,,,,,30,0,
20,Annick Davis,Montbret 849,1752,Imports,95,Aiguilles,Aiguilles,,,,,Allemagne,380 950,0,"380 950,00",,,,,,17,10,
33,Annick Davis,Montbret 849,1752,Imports,96,Alun,Alun,,,,,Allemagne,17 245,15,"17 245,75",,,,,,232 501,11,
54,Annick Davis,Montbret 849,1752,Imports,97,Ambre ; jaune,Ambre , jaune,,,,Allemagne,875,0,"875,00",3 133,0,,,,232 501,11,
82,Annick Davis,Montbret 849,1752,Imports,98,Antimoine,Antimoine,,,,,Allemagne,115,10,"115,50",,,,,,232 501,11,
90,Annick Davis,Montbret 849,1752,Imports,98,Ardoises,Ardoises,,,,,Allemagne,24 610,0,"24 610,00",,,,,,232 501,11,
97,Annick Davis,Montbret 849,1752,Imports,98,Argenterie,Argenterie,,,,,Allemagne,1 272,0,"1 272,00",,,,,,232 501,11,
102,Annick Davis,Montbret 849,1752,Imports,99,Armes ; à feu,Armes , à feu,,,,Allemagne,142 518,0,"142 518,00",,,,,,232 501,11,
109,Annick Davis,Montbret 849,1752,Imports,99,Avirons,Avirons,,,,,Allemagne,113,15,"113,75",,,,,,232 501,11,
130,Annick Davis,Montbret 849,1752,Imports,100,Balais ; de bois,Balais , de bois,,,,Allemagne,15,0,"15,00",6 197,12,,,,232 501,11,
136,Annick Davis,Montbret 849,1752,Imports,100,Baléine ; coupée,Baléine , coupée,,,,Allemagne,27,0,"27,00",323 450,15,,,,232 501,11,
158,Annick Davis,Montbret 849,1752,Imports,101,Bas ; de laine ,Bas , de laine ,,,,Allemagne,93,0,"93,00",5 153,4,,,,232 501,11,
179,Annick Davis,Montbret 849,1752,Imports,102,Bazannes ; tannées,Bazannes , tannées,,,,Allemagne,84,0,"84,00",,,,,,232 501,11,
184,Annick Davis,Montbret 849,1752,Imports,102,Bazin,Bazin,,,,,Allemagne,423,0,"423,00",,,,,,1 100,0,
198,Annick Davis,Montbret 849,1752,Imports,103,Beufs ; en vie,Beufs , en vie,,,,Allemagne,64 500,0,"64 500,00",68 540,0,,,,1 100,0,
201,Annick Davis,Montbret 849,1752,Imports,103,Beurre,Beurre,,,,,Allemagne,77,4,"77,20",,,,,,1 100,0,
209,Annick Davis,Montbret 849,1752,Imports,103,Bierre,Bierre,,,,,Allemagne,147,10,"147,50",,,,,,1 100,0,
222,Annick Davis,Montbret 849,1752,Imports,104,Bled ; froment,Bled , froment,,,,Allemagne,840,0,"840,00",19 653 665,2,,,,1 900,0,
241,Annick Davis,Montbret 849,1752,Imports,104,Boëtes ; de bois,Boëtes , de bois,,,,Allemagne,577,0,"577,00",,,,,,442 746,0,
247,Annick Davis,Montbret 849,1752,Imports,104,Bois ; à barils,Bois , à barils,,,,Allemagne,928,0,"928,00",,,,,,409 927,0,
249,Annick Davis,Montbret 849,1752,Imports,104,Bois ; à batir,Bois , à batir,,,,Allemagne,83 628,4,"83 628,20",,,,,,409 927,0,
255,Annick Davis,Montbret 849,1752,Imports,104,Bois ; à bruler,Bois , à bruler,,,,Allemagne,60 257,10,"60 257,50",219 004,12,,,,409 927,0,
