numrodeligne,dataentryby,source,sourcepath,sourcetype,year,exportsimports,sheet,marchandises,pays,value,quantit,total,quantity_unit,leurvaleursubtotal_1,leurvaleursubtotal_2,remarks,doubleaccounts
1,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Acier,Espagne,1487,4251,58892,livres,,,,0
2,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Acier,Levant,14666,41905,58892,livres,,,,0
3,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Acier,Suisse,8067,23050,58892,livres,,,,0
4,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Acier,Isles,27824,68080,58892,livres,,,,0
5,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Acier,Guinée,6848,17120,58892,livres,,,,0
6,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Agathe,Guinée,3215,643,,livres,,,,0
7,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Agneaux,Savoye,3160,158,,en nombre,,,,0
8,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Agrémens,Angleterre,7525,150.5,15050,livres,,,,0
9,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Agrémens,Flandre,1125,,15050,,,,,0
10,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Agrémens,Isles,6400,128,15050,livres,,,,0
11,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Aiguilles,Isles,5850,1170,,livres,,,,0
12,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Ajustements,Allemagne,8141,,,,,,,0
13,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alembics,Isles,1090,1090,,livres,,,,0
14,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Aloës,Hollande,14700,4900,,livres,,,,0
15,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alun,Espagne,1738,8691,31745,livres,,,31755,0
16,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alun,Hollande,2513,12565,31745,livres,,,31755,0
17,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alun,Italie,11194,55970,31745,livres,,,31755,0
18,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alun,Naples,3424,17122,31745,livres,,,31755,0
19,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alun,Levant,7430,37150,31745,livres,,,31755,0
20,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alun,Savoye,1621,7936,31745,livres,,,31755,0
21,Loïc Charles,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,3,Alun,Suisse,3835,15342,31745,livres,,,31755,0
22,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Angleterre,26777,128881,400282,livres,,,,0
23,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Espagne,23568,117840,400282,livres,,,,0
24,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Hollande,143101,715508,400282,livres,,,,0
25,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Italie,11549,57745,400282,livres,,,,0
26,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Naples,1400,7000,400282,livres,,,,0
27,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Genes,6448,32244,400282,livres,,,,0
28,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Levant,23739,118697,400282,livres,,,,0
29,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Nord,8434,42170,400282,livres,,,,0
30,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Savoye,39062,110596,400282,livres,,,,0
31,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Suede,10076,50380,400282,livres,,,,0
32,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Isles,93243,453096,400282,livres,,,,0
33,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Guinee,8005,16010,400282,livres,,,,0
34,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amandeu,Indes,4880,24400,400282,livres,,,,0
35,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Ambre,Guinée,3820,37,,livres,,,,0
36,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amidon,Flandres,176085,586950,200652,livres,,,,0
37,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amidon,Genes,5121,17072,200652,livres,,,,0
38,Eszter H.,AN F12 245,National/Objet Général/AN Paris/F_12_245_1777/1777.csv,Objet Général,1777,Exports,5,Amidon,Isles,19446,97230,200652,livres,,,,0
