Numéro de ligne,Data entry by,Source,Year,Export-Import,Sheet,Marchandises,,,,,Pays,,Quantité,Leur valeur,,Leur Valeur (sub-total 1),Leur Valeur (sub-total 2),,Total,Remarks,Leur valeur,Deniers,Leur Valeur (sub-total 1),Deniers,Leur Valeur (sub-total 2),deniers,Total,Deniers
1,Fatima zahra,Montbret 155-2,1759,Imports,2,Acier,,,,,Allemagne,,,40 918,,0,0,,216 271,,40 918,6,,,,,216 271,6
2,Fatima zahra,Montbret 155-3,1759,Imports,2,Acier,,,,,Espagne,,,159,,0,0,,216 271,,158,10,,,,,216 271,6
3,Fatima zahra,Montbret 155-4,1759,Imports,2,Acier,,,,,Flandre,,,266,,0,0,,216 271,,266,,,,,,216 271,6
4,Fatima zahra,Montbret 155-5,1759,Imports,2,Acier,,,,,Geneve,,,56,,0,0,,216 271,,55,16,,,,,216 271,6
5,Fatima zahra,Montbret 155-6,1759,Imports,2,Acier,,,,,Hollande,,,139 389,,0,0,,216 271,,139 388,13,,,,,216 271,6
6,Fatima zahra,Montbret 155-7,1759,Imports,2,Acier,,,,,Italie,,,525,,0,0,,216 271,,525,,,,,,216 271,6
7,Fatima zahra,Montbret 155-8,1759,Imports,2,Acier,,,,,Genes,,,192,,0,0,,216 271,,192,,,,,,216 271,6
8,Fatima zahra,Montbret 155-9,1759,Imports,2,Acier,,,,,Nord,,,6 933,,0,0,,216 271,,6 932,16,,,,,216 271,6
9,Fatima zahra,Montbret 155-10,1759,Imports,2,Acier,,,,,Suede,,,25 477,,0,0,,216 271,,25 477,,,,,,216 271,6
10,Fatima zahra,Montbret 155-11,1759,Imports,2,Acier,,,,,Suisse,,,2 357,,0,0,,216 271,,2 357,5,,,,,216 271,6
11,Fatima zahra,Montbret 155-12,1759,Imports,2,Acorus,,,,,Hollande,,,124,,0,0,,0,,123,15,,,,,,
12,Fatima zahra,Montbret 155-13,1759,Imports,2,Agaric,,,,,Hollande,,,12,,0,0,,0,,12,,,,,,,
13,Fatima zahra,Montbret 155-14,1759,Imports,2,Ajamix,,,,,Levant,,,241 065,,0,0,,0,,241 065,,,,,,,
14,Fatima zahra,Montbret 155-15,1759,Imports,2,Aiguilles,,,,,Allemagne,,,385 814,,0,0,,407 299,,385 814,,,,,,407 299,
15,Fatima zahra,Montbret 155-16,1759,Imports,2,Aiguilles,,,,,Flandre,,,20 700,,0,0,,407 299,,20 700,,,,,,407 299,
16,Fatima zahra,Montbret 155-17,1759,Imports,2,Aiguilles,,,,,Hollande,,,770,,0,0,,407 299,,770,,,,,,407 299,
17,Fatima zahra,Montbret 155-18,1759,Imports,2,Aiguilles,,,,,Savoye,,,15,,0,0,,407 299,,15,,,,,,407 299,
18,Fatima zahra,Montbret 155-19,1759,Imports,4,Ails,,,,,Espagne,,,6 176,,0,0,,8 804,,6 176,8,,,,,8 804,3
19,Fatima zahra,Montbret 155-20,1759,Imports,4,Ails,,,,,Italie,,,19,,0,0,,8 804,,18,15,,,,,8 804,3
20,Fatima zahra,Montbret 155-21,1759,Imports,4,Ails,,,,,Genes,,,2 600,,0,0,,8 804,,2 600,,,,,,8 804,3
21,Fatima zahra,Montbret 155-22,1759,Imports,4,Ails,,,,,Savoye,,,9,,0,0,,8 804,,9,,,,,,8 804,3
22,Fatima zahra,Montbret 155-23,1759,Imports,4,Ains à pecher,,,,,Geneve,,,300,,0,0,,450,,300,,,,,,450,
23,Fatima zahra,Montbret 155-24,1759,Imports,4,Ains à pecher,,,,,Hollande,,,150,,0,0,,450,,150,,,,,,450,
24,Fatima zahra,Montbret 155-25,1759,Imports,4,Alaya,,,,,Levant,,,3 944,,0,0,,0,,3 944,,,,,,,
25,Fatima zahra,Montbret 155-26,1759,Imports,4,Aloes,,,,,Flandre,,,1 113,,0,0,,12 228,,1 113,8,,,,,12 227,12
26,Fatima zahra,Montbret 155-27,1759,Imports,4,Aloes,,,,,Hollande,,,3 812,,0,0,,12 228,,3 812,4,,,,,12 227,12
27,Fatima zahra,Montbret 155-28,1759,Imports,4,Aloes,,,,,Levant,,,7 302,,0,0,,12 228,,7 302,,,,,,12 227,12
28,Fatima zahra,Montbret 155-29,1759,Imports,4,Alpargattes,,,,,Espagne,,,110,,0,0,,0,,109,16,,,,,,
29,Fatima zahra,Montbret 155-30,1759,Imports,4,Alumettes,,,,,Hollande,,,1 192,,0,0,,1 232,,1 191,12,,,,,1 231,12
30,Fatima zahra,Montbret 155-31,1759,Imports,4,Alumettes,,,,,Savoye,,,40,,0,0,,1 232,,40,,,,,,1 231,12
31,Fatima zahra,Montbret 155-32,1759,Imports,4,Alun,,,,,Allemagne,,,14 033,,0,0,,445 603,,14 033,7,,,,,445 603,2
32,Fatima zahra,Montbret 155-33,1759,Imports,4,Alun,,,,,Danemark,,,260,,0,0,,445 603,,260,,,,,,445 603,2
33,Fatima zahra,Montbret 155-34,1759,Imports,4,Alun,,,,,Espagne,,,19 815,,0,0,,445 603,,19 815,5,,,,,445 603,2
34,Fatima zahra,Montbret 155-35,1759,Imports,4,Alun,,,,,Hollande,,,99 174,,0,0,,445 603,,99 173,17,,,,,445 603,2
35,Fatima zahra,Montbret 155-36,1759,Imports,4,Alun,,,,,Italie,,,186 600,,0,0,,445 603,,186 600,,,,,,445 603,2
36,Fatima zahra,Montbret 155-37,1759,Imports,4,Alun,,,,,Genes,,,13 200,,0,0,,445 603,,13 200,,,,,,445 603,2
37,Fatima zahra,Montbret 155-38,1759,Imports,4,Alun,,,,,Nord,,,13 019,,0,0,,445 603,,13 018,17,,,,,445 603,2
38,Fatima zahra,Montbret 155-39,1759,Imports,4,Alun,,,,,Savoye,,,98 200,,0,0,,445 603,,98 200,,,,,,445 603,2
39,Fatima zahra,Montbret 155-40,1759,Imports,4,Alun,,,,,Suede,,,1 302,,0,0,,445 603,,1 301,16,,,,,445 603,2
40,Fatima zahra,Montbret 155-41,1759,Imports,4,Amadon,,,,,Allemagne,,,6 753,,0,0,,14 768,,6 752,18,,,,,14 767,18
41,Fatima zahra,Montbret 155-42,1759,Imports,4,Amadon,,,,,Espagne,,,80,,0,0,,14 768,,80,,,,,,14 767,18
