Nom opérateur/trice,Cote du document source,Année,N° de page du PDF,Exportations/Importations,Pays d'origine,Familles de marchandises,Nom de la marchandise,Quantités marchandises,Unité de compte/quantités,Prix unitaire,Unité de compte,Prix unitaire / unité de compte Lt,Prix unitaire / unité de compte Sous,Prix unitaire / unité de compte Deniers,Valeur en décimale de Lt,Unité de compte,Total ,Unité de compte,Remarques
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Allemagne,,Acier,,,,,"33 028,00","12,00",,"33028,6",,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Angleterre,,Acier,,,,,"700,00",,,700,,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Espagne,,Acier,,,,,"15,00",,,15,,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Flandre,,Acier,,,,,"609,00",,,609,,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Genève,,Acier,,,,,"10,00",4,,"10,2",,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Hollande,,Acier,,,,,"120 279,00",5,,"120279,25",,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Gènes,,Acier,,,,,"1 832,00",,,1832,,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Levant,,Acier,,,,,"1 750,00",,,1750,,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Nord,,Acier,,,,,"5 320,00",10,,"5320,5",,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Savoye,,Acier,,,,,"16,00",10,,"16,5",,"186645,30",,
Pascale GOUTTENEGRE,"BM Rouen , Fonds Montbret, 155-2 ",1760,2,Importations,Suède,,Acier,,,,,"22 001,00",,,22001,,"186645,30",,
